,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
138,6/29/2006,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Murphy, Stephen",Committee,6/29/06 Deposit Report
139,9/15/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Rodrigues, Michael J.",Committee,2006 Pre-election Report (ND)
140,10/18/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"O'Flaherty, Eugene L.",Committee,2006 Pre-election Report (ND)
141,10/26/2006,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Loscocco, Paul J.P.",Committee,2006 Year-end Report (ND)
142,10/26/2006,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Augustus, Edward M.",Committee,2006 Year-end Report (ND)
143,11/20/2006,Greater Boston Real Estate Board PAC 806,2108,$200.00 ,"Natale, Patrick M.",Union/Association,2006 Year-end Report (ND)
144,12/20/2006,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Toomey Jr., Timothy J.",Committee,2006 Year-end Report (ND)
145,12/20/2006,Greater Boston Real Estate Board Political Action Committee,2108,$500.00 ,"Menino, Thomas M.",Individual,12/20/06 Deposit Report
146,1/17/2007,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Richardson, Pam",Committee,2007 Year-end Report (ND)
147,1/30/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2007 Year-end Report (PAC)
148,2/27/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Wallace, Brian P.",Committee,2007 Year-end Report (ND)
149,2/28/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Morrissey, Michael W.",Committee,2007 Year-end Report (ND)
150,3/6/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Dempsey, Brian S.",Committee,2007 Year-end Report (ND)
151,3/17/2007,GREATER BOSTON REAL ESTATE BOARD PAC CPF 80606,2108,$300.00 ,"Walsh, Marian",Union/Association,2007 Year-end Report (ND)
152,3/21/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Tisei, Richard R.",Committee,2007 Year-end Report (ND)
153,3/28/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Jones Jr., Bradley H.",Committee,2007 Year-end Report (ND)
154,3/28/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Mariano, Ronald",Committee,2007 Year-end Report (ND)
155,3/29/2007,Greater Boston Real Estate PAC,2108,$300.00 ,"Buoniconti, Stephen J.",Committee,2007 Year-end Report (ND)
156,3/31/2007,Greater Boston Real Estate Board,2108,$250.00 ,"Murphy, Stephen",Individual,3/31/07 Deposit Report
157,3/31/2007,"Greater Boston Real Estate Board, PAC",2108,$100.00 ,"St. Fleur, Marie",Committee,2007 Year-end Report (ND)
158,4/3/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Petruccelli, Anthony W.",Committee,2007 Pre-primary Report (Special) (ND)
159,4/9/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Bradley, Garrett J.",Committee,2007 Year-end Report (ND)
160,4/11/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Augustus, Edward M.",Committee,2007 Year-end Report (ND)
161,4/12/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Murray, Therese",Committee,2007 Year-end Report (ND)
162,4/13/2007,Greater Boston Real Estate Board,2108,$100.00 ,"Casey, Paul C.",Committee,2007 Year-end Report (ND)
163,4/15/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Timilty, James",Committee,2007 Year-end Report (ND)
164,4/16/2007,Greater Boston Real Estate Board,2108,$200.00 ,"LeDuc, Stephen P.",Committee,2007 Year-end Report (ND)
165,4/18/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Petrolati, Thomas M.",Committee,2007 Year-end Report (ND)
166,4/26/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Spilka, Karen",Committee,2007 Year-end Report (ND)
167,4/30/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Koutoujian, Peter  J.",Committee,2007 Year-end Report (ND)
168,4/30/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Golden Jr., Thomas A.",Committee,2007 Year-end Report (ND)
169,4/30/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Brewer, Stephen M.",Committee,2007 Year-end Report (ND)
170,5/2/2007,Greater Boston Real Estate Board,2108,$200.00 ,"Downing, Benjamin",Committee,2007 Year-end Report (ND)
171,5/4/2007,Greater Boston Real Estate Board,2108,$200.00 ,"Creedon Jr., Robert S.",Committee,2007 Year-end Report (ND)
172,5/4/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Bosley, Daniel E.",Committee,2007 Year-end Report (ND)
173,5/5/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Creedon, Geraldine",Committee,2007 Year-end Report (ND)
